id,funded_amount,currency,term_in_months
662135,150.0,PHP,8.0
752110,75.0,NGN,17.0
1084098,5000.0,USD,24.0
786892,575.0,NIO,14.0
1092503,425.0,XAF,15.0
1135265,1075.0,PEN,6.0
1243451,1800.0,PEN,6.0
1208797,700.0,TZS,11.0
860638,225.0,PHP,12.0
678426,850.0,WST,14.0
1103527,575.0,EGP,14.0
1268118,175.0,KHR,8.0
687454,800.0,GTQ,14.0
1229790,600.0,KES,14.0
964326,6075.0,GHS,5.0
1265363,450.0,HTG,8.0
1292856,125.0,PHP,8.0
1186270,300.0,PHP,8.0
783507,950.0,GHS,10.0
1020406,1250.0,KHR,14.0
1255831,175.0,PHP,14.0
685507,725.0,USD,14.0
701805,1500.0,USD,20.0
848788,350.0,PHP,13.0
991890,775.0,USD,8.0
774647,500.0,PKR,12.0
822583,700.0,NIO,6.0
1179766,2200.0,USD,20.0
1207474,250.0,PHP,8.0
1286420,125.0,PHP,11.0
1032238,500.0,PKR,14.0
668815,1250.0,XOF,7.0
936084,400.0,TJS,14.0
1106370,750.0,PHP,7.0
1292386,225.0,PHP,8.0
1265655,400.0,IDR,25.0
1054619,1000.0,USD,15.0
874928,6400.0,USD,26.0
893750,1475.0,BOB,26.0
793723,1450.0,USD,37.0
826748,500.0,IDR,60.0
771541,650.0,WST,14.0
765368,1200.0,XAF,25.0
1211280,550.0,GTQ,10.0
934961,400.0,KES,13.0
790938,1000.0,USD,14.0
1275044,75.0,NGN,22.0
896450,300.0,USD,13.0
1216917,400.0,TJS,26.0
1273844,100.0,PHP,13.0
1119544,200.0,KES,8.0
936657,700.0,BOB,26.0
1122617,125.0,PHP,14.0
910183,1100.0,UGX,14.0
902205,125.0,PHP,8.0
1143042,2600.0,WST,14.0
674213,200.0,PHP,8.0
911552,700.0,HTG,8.0
949841,650.0,USD,14.0
913452,675.0,PHP,8.0
973214,325.0,PHP,13.0
968246,175.0,COP,13.0
1178622,200.0,MGA,8.0
1032448,125.0,PHP,8.0
1272894,2500.0,USD,20.0
699717,325.0,PHP,14.0
740033,50.0,PHP,8.0
963510,550.0,UGX,10.0
1116982,300.0,PKR,14.0
711904,500.0,VND,20.0
1094663,1500.0,USD,8.0
1262844,300.0,KES,14.0
1020866,650.0,MZN,17.0
902363,225.0,PHP,7.0
1249083,300.0,PKR,15.0
1097532,225.0,IDR,36.0
978445,300.0,USD,14.0
945738,400.0,KES,14.0
1127153,675.0,HNL,15.0
1057476,125.0,BOB,10.0
1034866,450.0,PHP,8.0
782906,300.0,USD,8.0
1131816,250.0,PHP,14.0
807010,200.0,JOD,18.0
693461,250.0,PHP,7.0
919951,325.0,INR,43.0
1131093,225.0,PHP,8.0
1050995,1625.0,PEN,6.0
1280700,325.0,PHP,8.0
1336033,75.0,GTQ,14.0
1214426,225.0,INR,15.0
1153151,325.0,NIO,8.0
867100,850.0,TJS,20.0
1082211,125.0,KES,3.0
844414,1250.0,COP,26.0
1090252,4000.0,USD,24.0
692371,600.0,JOD,16.0
1048653,300.0,PHP,13.0
1112848,125.0,XOF,10.0
924616,225.0,USD,14.0
1048781,200.0,KHR,9.0
1193864,225.0,PHP,14.0
1228184,125.0,KHR,8.0
777401,1025.0,KES,14.0
921081,1225.0,MMK,13.0
960432,225.0,PHP,11.0
872470,1225.0,NIO,8.0
895772,750.0,BOB,19.0
1226834,100.0,XOF,5.0
1289317,625.0,KHR,14.0
768217,500.0,USD,8.0
1229489,175.0,PHP,8.0
1223938,1450.0,BOB,15.0
910992,325.0,USD,17.0
870027,1125.0,PYG,15.0
1308069,500.0,USD,13.0
1016773,575.0,PKR,14.0
955750,1000.0,PHP,9.0
707615,1275.0,XOF,8.0
808335,425.0,PHP,8.0
680224,125.0,LRD,11.0
960022,500.0,USD,14.0
843688,1050.0,KES,14.0
653313,600.0,KES,15.0
855864,325.0,XOF,8.0
897509,875.0,AZN,14.0
846759,1000.0,USD,14.0
1114126,125.0,PHP,14.0
667269,225.0,PHP,8.0
848694,600.0,COP,18.0
924169,600.0,TZS,11.0
1072798,100.0,COP,10.0
1087649,250.0,KES,5.0
1219100,350.0,PKR,14.0
1101103,400.0,PKR,14.0
665399,2000.0,KGS,14.0
831040,2450.0,USD,6.0
997318,3000.0,USD,38.0
831813,350.0,KES,49.0
1298256,125.0,PHP,8.0
1147712,1000.0,USD,17.0
774352,2250.0,MXN,14.0
778373,75.0,KHR,8.0
850145,475.0,PHP,8.0
781619,275.0,KES,5.0
1315948,325.0,PHP,11.0
927282,1300.0,EGP,14.0
677505,1000.0,UGX,12.0
735304,1075.0,WST,14.0
987615,200.0,KES,14.0
972053,700.0,USD,20.0
696856,575.0,KES,14.0
1290688,275.0,UGX,10.0
1225177,300.0,KES,14.0
1290196,100.0,KHR,8.0
1237869,125.0,PHP,8.0
791504,450.0,PHP,8.0
1229286,1000.0,USD,14.0
777125,825.0,USD,26.0
755551,250.0,PHP,8.0
689928,525.0,PKR,14.0
775622,700.0,PEN,6.0
886285,1275.0,GHS,14.0
752852,1100.0,PHP,8.0
1286784,200.0,KES,14.0
991606,900.0,TJS,14.0
887414,1125.0,PHP,14.0
981717,3325.0,PEN,6.0
723198,575.0,KES,13.0
1125467,1075.0,ALL,26.0
1176271,275.0,GTQ,8.0
1207023,275.0,LRD,6.0
998474,5200.0,RWF,8.0
1206828,1000.0,USD,14.0
710531,425.0,KES,14.0
1030554,125.0,PHP,8.0
930465,1500.0,USD,18.0
1334604,1000.0,PHP,8.0
817262,425.0,WST,14.0
859945,800.0,USD,14.0
888492,225.0,PHP,5.0
776465,1325.0,HNL,14.0
784046,3450.0,USD,6.0
1039952,300.0,PKR,11.0
977419,650.0,KHR,20.0
1214499,750.0,KES,11.0
903437,1525.0,CRC,26.0
730226,300.0,USD,13.0
1167776,650.0,PHP,8.0
1019125,675.0,INR,43.0
676554,775.0,NIO,14.0
666346,400.0,NIO,8.0
856040,175.0,PEN,8.0
772077,200.0,PHP,8.0
1304481,350.0,PKR,14.0
771937,1300.0,USD,14.0
1112876,625.0,PEN,8.0
1002571,900.0,PEN,6.0
1029580,100.0,KES,8.0
782473,300.0,PEN,14.0
1326535,100.0,PKR,14.0
1209870,900.0,PEN,6.0
951760,175.0,INR,43.0
928925,525.0,COP,14.0
932092,2425.0,KGS,26.0
1276256,300.0,USD,9.0
1251606,225.0,PHP,8.0
797004,350.0,PHP,14.0
1093903,275.0,COP,26.0
962302,1350.0,KES,26.0
843182,225.0,KES,8.0
1240470,225.0,PHP,8.0
875183,1450.0,VND,14.0
891380,800.0,PEN,6.0
1255081,350.0,XAF,19.0
1092477,300.0,USD,14.0
1040273,150.0,XOF,7.0
1296919,125.0,KHR,8.0
828301,1100.0,KES,20.0
724331,250.0,PHP,7.0
825890,250.0,PHP,8.0
936438,150.0,PHP,13.0
1264813,100.0,KHR,8.0
1108039,625.0,PEN,14.0
983458,450.0,UGX,10.0
938148,2725.0,LBP,15.0
786844,425.0,USD,14.0
685483,500.0,USD,14.0
698345,425.0,KES,14.0
761151,275.0,USD,17.0
863634,250.0,PHP,11.0
1112828,125.0,XOF,8.0
1174508,100.0,HTG,8.0
1119154,425.0,XAF,15.0
837192,1050.0,UGX,12.0
1075130,175.0,KHR,8.0
978162,300.0,KES,14.0
771688,225.0,KES,14.0
1230031,500.0,KES,39.0
840237,275.0,PHP,14.0
852629,850.0,USD,14.0
933601,650.0,PHP,8.0
956051,450.0,USD,20.0
1286564,250.0,PHP,20.0
709555,375.0,USD,20.0
929855,500.0,TZS,11.0
671094,425.0,XOF,8.0
1257511,200.0,KHR,8.0
667651,975.0,CRC,38.0
995472,2000.0,RWF,11.0
823647,1125.0,PHP,8.0
689111,175.0,KES,14.0
1134647,5425.0,PYG,5.0
1183528,325.0,TJS,14.0
984322,400.0,PHP,14.0
906590,450.0,PHP,7.0
955018,350.0,PHP,7.0
679243,275.0,LRD,11.0
812430,3400.0,USD,13.0
1136190,800.0,GTQ,14.0
1304790,325.0,PEN,8.0
1100015,1000.0,GEL,21.0
1055096,500.0,USD,14.0
939981,175.0,NGN,18.0
1264195,600.0,USD,20.0
676633,525.0,PHP,8.0
1209287,350.0,GHS,10.0
1035496,275.0,PHP,7.0
811767,775.0,PKR,14.0
965681,450.0,PHP,7.0
768457,350.0,PHP,12.0
836467,675.0,KGS,14.0
874175,350.0,PHP,8.0
956541,100.0,KES,13.0
1074932,100.0,KHR,8.0
978771,225.0,PHP,7.0
692695,275.0,PHP,13.0
1308237,2650.0,PYG,6.0
1029877,500.0,USD,8.0
1206740,200.0,KES,14.0
1258951,1100.0,USD,27.0
1320655,175.0,SLL,7.0
658931,600.0,KES,14.0
1174254,9025.0,USD,6.0
976899,550.0,IDR,59.0
776434,1175.0,XOF,17.0
771309,2975.0,PEN,6.0
903357,1225.0,ZMW,24.0
1136934,1525.0,KHR,13.0
933649,650.0,PHP,8.0
1188196,5350.0,GTQ,14.0
1321279,225.0,PHP,14.0
1047619,8025.0,RWF,5.0
722406,1150.0,PHP,7.0
849599,475.0,PHP,11.0
988925,475.0,PKR,14.0
1040785,325.0,TZS,11.0
725571,475.0,UGX,11.0
1170966,450.0,PEN,8.0
811959,725.0,USD,14.0
774288,500.0,USD,14.0
1150569,1000.0,USD,15.0
836830,350.0,PHP,8.0
690251,1625.0,VND,13.0
915474,400.0,USD,20.0
724710,525.0,XOF,12.0
843445,1100.0,KES,14.0
788876,175.0,USD,17.0
690990,400.0,USD,14.0
901360,225.0,PHP,8.0
659600,1200.0,PYG,15.0
691507,2350.0,TZS,7.0
1197924,275.0,USD,26.0
1236218,375.0,COP,12.0
1119102,350.0,COP,17.0
729207,1500.0,INR,43.0
1118715,175.0,MGA,8.0
996284,850.0,PHP,8.0
984371,550.0,PHP,11.0
1044606,1975.0,PYG,6.0
1231120,150.0,XOF,8.0
663125,200.0,USD,10.0
1249010,400.0,PKR,16.0
1322946,350.0,USD,14.0
1317341,400.0,USD,13.0
1289234,350.0,USD,14.0
686873,3000.0,USD,12.0
1071216,1000.0,USD,14.0
679681,400.0,PKR,14.0
784194,4925.0,USD,6.0
1083155,125.0,KES,3.0
986218,500.0,USD,14.0
1111263,7325.0,MXN,6.0
937648,250.0,COP,14.0
1190849,600.0,KES,11.0
950655,325.0,PHP,8.0
1323017,1650.0,USD,8.0
1305239,325.0,PHP,7.0
1055222,525.0,COP,17.0
970559,400.0,USD,14.0
1195122,275.0,TJS,14.0
742068,3000.0,USD,12.0
693202,975.0,USD,6.0
1147038,625.0,XOF,8.0
655104,225.0,PHP,8.0
1284509,325.0,PHP,14.0
1323405,975.0,PKR,14.0
1017159,1500.0,USD,17.0
1011856,525.0,KES,11.0
886637,300.0,PHP,8.0
1284943,1675.0,XOF,12.0
1266788,400.0,WST,14.0
854412,350.0,PKR,12.0
1240294,1125.0,KHR,14.0
1089883,25.0,KES,9.0
932104,200.0,PHP,8.0
750898,600.0,GEL,15.0
1307700,200.0,KES,14.0
1035137,400.0,MGA,11.0
943518,400.0,KES,14.0
1319140,350.0,PHP,5.0
1075527,250.0,COP,15.0
1140918,3375.0,PEN,6.0
722546,250.0,PHP,5.0
1064555,150.0,PHP,8.0
839645,1050.0,AMD,26.0
943146,300.0,PHP,8.0
982371,1325.0,GTQ,11.0
1320033,300.0,PHP,11.0
1189779,500.0,KES,14.0
948607,300.0,PHP,7.0
1029666,175.0,XAF,15.0
1002954,550.0,PHP,8.0
991558,225.0,PHP,11.0
1111349,1975.0,USD,8.0
709042,150.0,PHP,25.0
1187592,200.0,KHR,8.0
759962,3200.0,KHR,20.0
846158,375.0,PHP,5.0
1319801,500.0,USD,8.0
1045575,200.0,MZN,20.0
892081,450.0,PHP,6.0
946724,275.0,PHP,8.0
792462,175.0,NGN,14.0
1332470,300.0,TJS,14.0
1082318,125.0,KES,3.0
733124,475.0,PKR,14.0
1102736,100.0,PHP,8.0
1168726,275.0,KHR,8.0
1310693,1900.0,UAH,14.0
731609,1050.0,PHP,14.0
703859,1000.0,USD,14.0
1311881,325.0,PHP,11.0
1298968,225.0,PHP,8.0
1158739,225.0,PHP,8.0
1172041,425.0,PHP,13.0
844006,350.0,PHP,8.0
1024049,500.0,KES,13.0
1200271,600.0,PEN,6.0
1142911,2250.0,WST,14.0
936982,225.0,PHP,11.0
1322116,425.0,UGX,13.0
756055,400.0,USD,17.0
1130410,800.0,WST,14.0
1290602,75.0,KES,8.0
1049128,350.0,KES,13.0
1197752,300.0,KES,11.0
1286645,175.0,KHR,8.0
800951,225.0,PHP,10.0
894399,725.0,USD,20.0
1290577,300.0,PHP,8.0
1117034,750.0,AMD,30.0
1324678,450.0,LRD,11.0
1320930,100.0,PHP,8.0
715352,425.0,HNL,13.0
884172,275.0,PHP,8.0
1228027,175.0,UGX,9.0
663887,1525.0,JOD,27.0
1071753,75.0,NGN,19.0
1034424,2000.0,USD,25.0
1188383,300.0,INR,14.0
1319405,0.0,TJS,14.0
955159,400.0,USD,9.0
895296,175.0,PHP,8.0
1064982,525.0,KES,14.0
1043858,675.0,KES,9.0
1201119,175.0,MXN,13.0
798917,700.0,SLL,10.0
980080,300.0,KES,8.0
1275523,500.0,USD,14.0
935787,325.0,INR,43.0
689050,300.0,USD,14.0
897156,500.0,USD,17.0
1275151,200.0,PHP,13.0
1170552,1125.0,ALL,38.0
859381,450.0,USD,12.0
994131,1075.0,IDR,14.0
689868,225.0,KHR,14.0
855218,1250.0,COP,26.0
739267,500.0,USD,8.0
1264264,875.0,NIO,8.0
1054401,600.0,KES,14.0
1272917,500.0,PHP,8.0
830768,750.0,KES,11.0
767000,250.0,KES,13.0
783085,750.0,COP,17.0
1210691,200.0,USD,8.0
832873,450.0,KES,15.0
1170947,1850.0,CRC,62.0
1299559,1500.0,GTQ,14.0
1157820,125.0,KHR,8.0
1135764,4800.0,ILS,38.0
1119199,300.0,USD,11.0
1125749,125.0,PHP,14.0
773749,1100.0,USD,14.0
917100,1175.0,UGX,14.0
886347,550.0,XOF,4.0
1245851,200.0,SLL,7.0
660795,300.0,KES,14.0
1240642,325.0,PHP,8.0
1287159,375.0,PHP,8.0
946496,500.0,COP,20.0
977535,325.0,PHP,8.0
1057434,550.0,PHP,11.0
949723,100.0,HTG,7.0
1318127,700.0,USD,10.0
849793,550.0,USD,6.0
1039386,1500.0,USD,19.0
670634,225.0,PHP,8.0
907380,775.0,UGX,14.0
738443,200.0,INR,43.0
1004792,1175.0,BOB,14.0
1098136,675.0,HNL,20.0
1008920,875.0,PEN,6.0
992175,400.0,PKR,14.0
1279073,1050.0,USD,15.0
1213723,1500.0,USD,14.0
1310999,325.0,PHP,9.0
940584,1125.0,WST,14.0
1175351,450.0,PEN,8.0
1295775,325.0,LRD,7.0
1059962,175.0,PHP,8.0
1167610,7000.0,USD,36.0
1020260,625.0,TRY,10.0
842556,925.0,TJS,20.0
1186430,300.0,KES,14.0
1031340,550.0,PHP,5.0
717549,675.0,USD,32.0
759354,500.0,PKR,11.0
944387,475.0,PEN,14.0
892758,900.0,PHP,18.0
661290,175.0,PHP,11.0
846458,4225.0,VND,20.0
812667,500.0,TJS,14.0
1193679,275.0,PHP,8.0
1221793,3000.0,USD,24.0
1267510,500.0,TJS,14.0
950618,175.0,INR,43.0
1098345,525.0,TJS,14.0
1027404,350.0,XAF,15.0
1268006,400.0,WST,14.0
1093788,575.0,IDR,37.0
683113,625.0,TJS,14.0
805885,2875.0,JOD,15.0
1319411,175.0,IDR,14.0
1047423,425.0,KES,14.0
675264,1125.0,PHP,26.0
1005977,650.0,PHP,14.0
1006879,200.0,PKR,14.0
705718,1075.0,VND,14.0
749089,1950.0,KGS,14.0
776831,1125.0,PHP,11.0
707235,425.0,PKR,12.0
775172,450.0,PHP,8.0
1138525,1500.0,USD,28.0
1120804,500.0,KES,8.0
1239842,1025.0,PHP,14.0
1142040,600.0,GTQ,10.0
1293966,350.0,PHP,8.0
1086872,125.0,KES,3.0
1126951,1200.0,USD,26.0
1187842,250.0,KES,11.0
886779,375.0,PHP,8.0
1205664,450.0,INR,14.0
1182006,775.0,USD,7.0
771595,450.0,KES,14.0
695032,1500.0,USD,27.0
1185154,600.0,PHP,11.0
680344,2475.0,TZS,14.0
1214508,425.0,KES,11.0
1247234,1400.0,UGX,12.0
821160,325.0,PHP,10.0
1106503,200.0,KHR,8.0
1284021,225.0,PHP,8.0
1295898,1500.0,KHR,13.0
935307,325.0,PHP,8.0
1082214,125.0,KES,3.0
1278393,2075.0,AMD,30.0
1131809,200.0,KES,11.0
812056,400.0,PHP,18.0
741678,250.0,PHP,8.0
1183125,650.0,TJS,17.0
949121,150.0,PHP,7.0
947300,575.0,KES,14.0
799871,950.0,HNL,15.0
1067761,400.0,KES,13.0
815147,300.0,HNL,10.0
840430,1250.0,GEL,19.0
1023077,400.0,PHP,7.0
801067,3000.0,USD,26.0
1075435,1050.0,PEN,6.0
700776,200.0,LRD,12.0
1326196,175.0,KHR,8.0
932914,250.0,PHP,8.0
1144897,450.0,PHP,9.0
1246174,300.0,PHP,7.0
731398,550.0,COP,15.0
721973,625.0,TJS,14.0
1283126,825.0,TJS,20.0
1116239,3000.0,USD,25.0
1162783,150.0,PHP,8.0
1142252,300.0,INR,21.0
994973,800.0,GTQ,14.0
1107226,525.0,GTQ,14.0
1308315,1150.0,KHR,14.0
878444,675.0,PHP,6.0
1222666,1000.0,USD,14.0
1198967,225.0,PHP,10.0
835672,675.0,NIO,6.0
864980,1425.0,KES,19.0
894484,350.0,MXN,7.0
904510,200.0,PHP,8.0
1053132,350.0,KES,14.0
1009079,1450.0,BOB,20.0
687471,200.0,USD,8.0
1151975,300.0,PEN,9.0
943951,500.0,PHP,8.0
767906,500.0,USD,9.0
721334,500.0,USD,8.0
1279898,225.0,PHP,11.0
978557,725.0,HTG,7.0
709272,1275.0,XOF,14.0
1013349,2075.0,AMD,26.0
941407,200.0,KES,13.0
743412,225.0,PHP,60.0
1104655,225.0,PHP,11.0
1233250,400.0,PKR,12.0
738811,425.0,PHP,14.0
734095,125.0,KES,14.0
1094367,300.0,KES,14.0
993323,300.0,PHP,8.0
869117,275.0,PHP,8.0
1080793,3000.0,USD,24.0
956970,250.0,PKR,14.0
954485,75.0,XOF,6.0
822953,475.0,YER,40.0
703677,250.0,PHP,11.0
1248522,750.0,JOD,15.0
1102671,800.0,USD,20.0
1272561,600.0,PHP,7.0
1218049,200.0,KHR,8.0
995097,250.0,PHP,7.0
795211,375.0,PHP,8.0
663146,800.0,USD,14.0
812722,1100.0,UGX,8.0
1271114,500.0,KES,8.0
1236172,250.0,XAF,14.0
827751,950.0,VND,12.0
1073094,575.0,WST,14.0
660390,225.0,SLL,13.0
1091995,225.0,IDR,60.0
733258,1775.0,ZAR,101.0
1045694,1800.0,IDR,14.0
1244809,1175.0,MMK,14.0
1069634,325.0,PHP,14.0
1227646,300.0,PKR,14.0
927120,750.0,IDR,14.0
709087,300.0,PHP,8.0
873779,2000.0,USD,27.0
858464,950.0,PEN,6.0
824552,575.0,NIO,15.0
947922,300.0,KES,14.0
994149,600.0,XOF,8.0
1025168,5250.0,PYG,8.0
689790,125.0,TJS,14.0
861095,225.0,PHP,14.0
1224160,125.0,PHP,8.0
1120672,325.0,PHP,12.0
1192634,350.0,USD,12.0
1199329,400.0,TJS,14.0
1281614,425.0,KES,9.0
894868,300.0,PHP,8.0
937593,425.0,UGX,14.0
976247,75.0,NGN,14.0
822173,500.0,COP,21.0
719404,350.0,PHP,8.0
817076,550.0,TJS,14.0
909711,3000.0,USD,27.0
859301,600.0,USD,14.0
1324252,400.0,PHP,6.0
1039329,1925.0,PKR,14.0
692501,300.0,SLL,11.0
895501,2375.0,TZS,14.0
755422,1025.0,JOD,18.0
1060724,450.0,PHP,8.0
1142628,50.0,BOB,26.0
914459,700.0,USD,14.0
1039546,450.0,PKR,14.0
678014,250.0,SLL,11.0
856021,1350.0,INR,43.0
1141377,175.0,PHP,8.0
984489,1625.0,COP,27.0
1133789,650.0,PKR,14.0
1200026,275.0,SLL,6.0
1204844,225.0,XOF,13.0
698504,250.0,KES,8.0
670754,350.0,KES,14.0
827449,225.0,KES,20.0
1036564,2200.0,USD,22.0
1065122,150.0,USD,16.0
857768,1050.0,TZS,6.0
1218145,450.0,PKR,14.0
1059234,1525.0,NIO,6.0
1210988,200.0,INR,14.0
1073383,200.0,KHR,8.0
864436,675.0,PHP,8.0
680995,350.0,PHP,8.0
1204230,400.0,TJS,14.0
746567,175.0,NGN,17.0
1334429,50.0,KHR,14.0
965401,575.0,TZS,11.0
734333,725.0,PEN,14.0
784271,250.0,INR,43.0
960597,2700.0,USD,14.0
1265113,200.0,KES,8.0
795730,350.0,PHP,8.0
899199,250.0,COP,15.0
915777,575.0,PKR,14.0
710868,600.0,USD,11.0
1225048,100.0,KES,9.0
776414,275.0,PHP,14.0
950968,150.0,UGX,8.0
755687,700.0,PHP,8.0
861394,1675.0,XOF,8.0
790181,750.0,UGX,14.0
1122125,1200.0,USD,25.0
1325531,350.0,PHP,11.0
762920,300.0,KES,13.0
1065048,100.0,HTG,8.0
1103067,425.0,PHP,12.0
929700,1775.0,TJS,14.0
1022578,425.0,PHP,8.0
1197294,375.0,PHP,9.0
1017961,125.0,PHP,7.0
737796,500.0,USD,17.0
1120641,550.0,PHP,8.0
877603,250.0,COP,15.0
722898,300.0,USD,14.0
864957,350.0,PHP,11.0
943082,600.0,USD,15.0
1125603,700.0,USD,26.0
1006240,225.0,PHP,11.0
1077900,2875.0,PYG,6.0
1201333,1550.0,VND,20.0
717369,425.0,PKR,11.0
727879,350.0,PHP,14.0
868642,600.0,COP,14.0
1288035,1175.0,XOF,14.0
1304617,725.0,LSL,11.0
1019552,1000.0,USD,21.0
671103,250.0,KES,8.0
758250,525.0,USD,14.0
1150354,3825.0,PEN,8.0
1129774,175.0,XOF,8.0
960244,225.0,PHP,13.0
760213,775.0,RWF,10.0
1325981,0.0,COP,14.0
1044920,225.0,PHP,8.0
936897,325.0,PHP,8.0
1054998,1300.0,USD,27.0
1243246,100.0,PHP,8.0
750443,950.0,YER,12.0
815780,700.0,USD,11.0
686862,900.0,PEN,8.0
1168536,325.0,PHP,8.0
1154819,250.0,NGN,15.0
744995,175.0,PHP,8.0
763515,125.0,KES,8.0
849147,475.0,YER,14.0
1251098,300.0,UGX,8.0
694655,500.0,USD,8.0
744544,50.0,NGN,18.0
1264378,450.0,HNL,13.0
998139,550.0,LBP,12.0
1124464,400.0,KES,14.0
1015648,925.0,VND,26.0
771158,475.0,GTQ,14.0
769513,175.0,XOF,9.0
1264205,500.0,USD,8.0
1199658,425.0,PHP,8.0
795563,400.0,UGX,14.0
1136222,975.0,HNL,15.0
1190571,200.0,USD,14.0
662124,175.0,USD,15.0
750993,250.0,INR,43.0
839719,700.0,PHP,5.0
1276522,500.0,USD,13.0
866706,675.0,PHP,13.0
1258383,325.0,PHP,13.0
848485,500.0,KGS,14.0
1001125,325.0,PHP,8.0
1142472,1500.0,AMD,38.0
1186514,1475.0,USD,20.0
1043431,425.0,XOF,5.0
752582,1400.0,USD,6.0
972063,1600.0,AZN,20.0
679410,350.0,PHP,7.0
1019048,1125.0,HNL,20.0
775777,4050.0,USD,39.0
726573,1000.0,VND,14.0
1244318,900.0,USD,14.0
1251308,400.0,KES,14.0
773504,600.0,XOF,16.0
861480,400.0,PKR,14.0
1239177,475.0,NPR,14.0
997051,325.0,PHP,9.0
665498,400.0,USD,8.0
751003,150.0,NGN,17.0
668540,3050.0,PYG,5.0
1246467,0.0,USD,24.0
1190403,675.0,USD,27.0
994471,275.0,PHP,8.0
1126155,200.0,KES,8.0
792444,150.0,KHR,8.0
906662,275.0,KES,12.0
744103,1100.0,WST,14.0
1319757,175.0,SLL,11.0
889803,5250.0,PYG,6.0
1210172,2500.0,PYG,6.0
1213875,600.0,KES,14.0
1209653,150.0,IDR,14.0
1038846,750.0,UGX,8.0
941338,450.0,PKR,14.0
664148,375.0,COP,6.0
813641,3675.0,PEN,7.0
1016562,250.0,PHP,8.0
1209294,250.0,COP,15.0
976808,825.0,PKR,13.0
