id,country,region,borrower_genders
998474,Rwanda,,"female, female, female, female, female"
1206828,Lebanon,Aley,male
710531,Kenya,Eastland,male
1030554,Philippines,"Baliangao, Misamis Occidental",male
930465,Lebanon,Qana,female
1334604,Philippines,"Nambaran, Tabuk City, Kalinga",female
817262,Samoa,Lotofaga,female
859945,Cambodia,Kampong Speu Province,male
888492,Philippines,"Intramuros, Manila City",female
776465,Honduras,Santa Rosa de Copan,female
784046,The Democratic Republic of the Congo,"Bukavu, Sud Kivu Provice","female, female, female, female, female, female, female, female, female, female, female, female, female, female, female, female, female, female, female, female, female, female, female, female, female, female"
1039952,Pakistan,Lahore,female
977419,Cambodia,"Battambang province, Sangke district","female, female, female"
1214499,Kenya,Webuye,"female, female, female, female, female, male, female, female, male, female, female, male"
903437,Costa Rica,Puntarenas,female
730226,El Salvador,El Transito,male
1167776,Philippines,"Baybay City, Leyte",female
1019125,India,"Bhadrak, Odisha","female, female, female"
676554,Nicaragua,Chontales,female
666346,Nicaragua,Chinandega,male
856040,Peru,Nueva Arica - Cayaltí - Chiclayo,female
772077,Philippines,"Pagadian-lumbia,pagadian City",female
1304481,Pakistan,Sheikhupura,female
771937,El Salvador,Anamoros,female
1112876,Peru,Lamay - Calca - Cusco,female
1002571,Peru,Vitarte,"female, female, male, female, female"
1029580,Kenya,Kericho,female
782473,Peru,Pucará - Jaén - Cajamarca,male
1326535,Pakistan,Haripur,female
1209870,Peru,CUSCO,female
951760,India,Falakata,female
928925,Colombia,Tuchin,male
932092,Kyrgyzstan,Toktogul district,female
1276256,Timor-Leste,Baucau,male
1251606,Philippines,"Himamaylan, Negros Occidental",female
797004,Philippines,"Ormoc City, Leyte",female
1093903,Colombia,Copacabana,female
962302,Kenya,Chuka,female
843182,Kenya,Migori,female
1240470,Philippines,"Palagao Jones, Isabela",female
875183,Vietnam,Thanh Hoá,"female, female, female"
891380,Peru,Huaycan,"female, female, female, female, female"
1255081,Cameroon,Bambui,female
1092477,El Salvador,El Transito,male
1040273,Togo,Agoe,female
1296919,Cambodia,Prey Veng,"female, female, female"
828301,Kenya,Kerugoya,female
724331,Philippines,"Binalbagan, Negros Occidental",female
825890,Philippines,"Ubay, Bohol",female
936438,Philippines,"Talibon,Bohol",female
1264813,Cambodia,Preah Vihear,"female, female"
1108039,Peru,Santo Domingo de la Capilla - Cutervo - Cajamarca,male
983458,Uganda,Kasese,female
938148,Lebanon,Tripoli,male
786844,El Salvador,,female
685483,El Salvador,,male
698345,Kenya,Nakuru,female
761151,El Salvador,,female
863634,Philippines,"Valladolid, Negros Occidental",female
1112828,Togo,Tokoin,female
1174508,Haiti,Hinche,female
1119154,Cameroon,Yaoundé,male
837192,Uganda,Mbarara,"male, female, male, female, female"
1075130,Cambodia,Takeo,"female, female, female, female"
978162,Kenya,Kitale,male
771688,Kenya,Tiribe,female
1230031,Kenya,Nairobi,female
840237,Philippines,"Daan Bantayan, Cebu",female
852629,El Salvador,San Miguel,female
933601,Philippines,"Palo, Leyte",female
956051,El Salvador,San Miguel,male
1286564,Philippines,"Dinas,Sinacaban,Misamis Occidental",female
709555,El Salvador,,male
929855,Tanzania,Dar es Salaam,female
671094,Mali,Dioïla ,"female, female, female, female"
1257511,Cambodia,Pursat,"male, female, female, female, female"
667651,Costa Rica,Santa Teresa de Cajón,male
995472,Rwanda,,"male, female, female, female, female, male, male, female, male, female"
823647,Philippines,Sogod Cebu,female
689111,Kenya,karatina,female
1134647,Paraguay,Caaguazú,"female, female, female, female, female, female, female, female, female, female, female, female, female, female, female, female, female, female, female"
1183528,Tajikistan,Zafarabad,female
984322,Philippines,"Bais, Negros Oriental",female
906590,Philippines,Pasay City,male
955018,Philippines,"Calatrava, Negros Occidental",female
679243,Liberia,New Kru,female
812430,Lebanon,Jib Jennine,"female, female, female, female"
1136190,Guatemala,"Aldea Vista Hermosa, San Pedro Sacatepequez","female, female"
1304790,Peru,Arequipa,female
1100015,Georgia,Tetritskaro,female
1055096,Ecuador,San Gabriel,male
939981,Nigeria,Kaduna,female
1264195,El Salvador,San Miguel,male
676633,Philippines,"Brookes Point, Palawan",female
1209287,Ghana,Bongo,female
1035496,Philippines,"Baclayon, Bohol",female
811767,Pakistan,Lahore,male
965681,Philippines,"Plaridel-Usocan, Plaridel, Misamis Occidental",female
768457,Philippines,"Tudela-Pob.3, Clarin,Misamis Occidental",female
836467,Kyrgyzstan,"Nooken district, Jalalabat region",female
874175,Philippines,"Barili, Cebu",female
956541,Kenya,Tiribe,female
1074932,Cambodia,Kampot,"female, male"
978771,Philippines,"Palo, Leyte",female
692695,Philippines,"Bais, Negros Oriental",female
1308237,Paraguay,Ita,"female, female, female, female, female, female, female, female, female, female, female, female, female, female, female"
1029877,The Democratic Republic of the Congo,UVIRA,"male, female"
1206740,Kenya,Eldoret,female
1258951,Palestine,"Jabalia, Gaza",male
1320655,Sierra Leone,Waterloo,female
658931,Kenya,Kericho,female
1174254,The Democratic Republic of the Congo,"Bukavu, Sud Kivu Provice","female, female, female, female, female, female, female, female, female, female, female, female, female, female, female, female, female, female, female, female, female, female, female, female, female, female, female, female, female, female, female, female, female, female, female, female, female, female"
976899,Indonesia,Tangerang,female
776434,Togo,Akodessewa,female
771309,Peru,Huaycan,"female, female, female, female, female, female, female"
903357,Zambia,Kabwe,female
1136934,Cambodia,Takeo province,"female, female, female, female, female, female"
933649,Philippines,"Hinobaan, Negros Occidental",female
1188196,Guatemala,"Santiago Atitlán, Sololá","female, female, female, female, female, female, female"
1321279,Philippines,"Bais, Negros Oriental",female
1047619,Rwanda,,"female, male, female, female, male, male, female, female, male, male, female, male, female, female, female, male, female, female, female, female, female, female, female, female, female"
722406,Philippines,"Intramuros, Manila City",female
849599,Philippines,"Binalbagan, Negros Occidental",female
988925,Pakistan,Rawalpindi,female
1040785,Tanzania,Dar es Salaam,male
725571,Uganda,Zirobwe,"female, female"
1170966,Peru,Calca - Calca - Cusco,female
811959,El Salvador,,male
774288,El Salvador,El Transito,male
1150569,Timor-Leste,Dili B,male
836830,Philippines,"Nakar, San Guillermo, Isabela",female
690251,Vietnam,Dong Anh- Ha Noi,"female, female, male, female, female"
915474,El Salvador,,female
724710,Mali,Koutiala,female
843445,Kenya,Nakuru,male
788876,El Salvador,Sensuntepeque,female
690990,El Salvador,Osicala,female
901360,Philippines,"Manapla, Negros Occidental",female
659600,Paraguay,Carapegua,male
691507,Tanzania,Dar es Salaam,"female, female, female, female, female, female, female, female, female, female"
1197924,El Salvador,Osicala,female
1236218,Colombia,San Andrés de Sotavento,male
1119102,Colombia,Sincelejo,female
729207,India,Saikul,"female, female, female, female, female, female"
1118715,Madagascar,Antananarivo,female
996284,Philippines,"Himamaylan, Negros Occidental",female
984371,Philippines,"Guihulngan, Negros Oriental",female
1044606,Paraguay,Asunción,"female, female, female, female, female, female, female, female, female, female, female, female"
1231120,Togo,Kégué,female
663125,El Salvador,Sensuntepeque,female
1249010,Pakistan,Multan,female
1322946,El Salvador,,female
1317341,El Salvador,La Unión,male
1289234,El Salvador,San Vicente,female
686873,Iraq,,"female, female, female"
1071216,Ecuador,Tulcán,female
679681,Pakistan,Ravi Rayon,female
784194,The Democratic Republic of the Congo,Kavumu-Territoire de Kabre-Sud Kivu Province,"female, female, female, female, female, female, female, female, female, female, female, female, female, female, female, female, female, female, female, female, female, female, female, female, female, female, female, female, female, female"
1083155,Kenya,,female
986218,El Salvador,San Miguel,female
1111263,Mexico,"Tetela,Oaxaca","female, female, female, male, female, female, female, female, female, female, female, female, female, female, female, female, male"
937648,Colombia,Planeta Rica,male
1190849,Kenya,Kitengela,male
950655,Philippines,"Baybay City, Leyte",female
1323017,Ecuador,Portoviejo,female
1305239,Philippines,"Baybay City, Leyte",female
1055222,Colombia,Tierralta,female
970559,El Salvador,Usulután,female
1195122,Tajikistan,Dangara,female
742068,Iraq,,"female, female, female"
693202,Ecuador,Manta,female
1147038,Burkina Faso,BOGODOGO,"female, female, female, female"
655104,Philippines,"Tagbilaran, Bohol",female
1284509,Philippines,"Daan Bantayan, Cebu",female
1323405,Pakistan,Qaidabad,male
1017159,Lebanon,Tripoli,male
1011856,Kenya,Teso,"female, male, male, male, male, male, female, female, male"
886637,Philippines,"Minglanilla, Cebu",female
1284943,Senegal,,"female, female, female, female, female, female, female, female, female, female"
1266788,Samoa,"Taga, Savaii Island",female
854412,Pakistan,Rawalpindi,female
1240294,Cambodia,Takeo province,"female, female, female"
1089883,Kenya,,
932104,Philippines,"Banga, Aklan",female
750898,Georgia,Chkhorotsku,female
1307700,Kenya,Eldoret,female
1035137,Madagascar,Antananarivo,female
943518,Kenya,Machakos,female
1319140,Philippines,"Ilog, Negros Occidental",female
1075527,Colombia,San Antonio de Palmito,male
1140918,Peru,CUSCO,"female, male, female, female, female, female, female, female, male, female"
722546,Philippines,Pasay City,female
1064555,Philippines,"Baybay City, Leyte",female
839645,Armenia,Gegharkunik region,male
943146,Philippines,"Hinigaran, Negros Occidental",female
982371,Guatemala,"La Guardianía, Sacatepequez",female
1320033,Philippines,"Maasin City, Leyte",female
1189779,Kenya,Chuka,male
948607,Philippines,"Sindangan - Dapaon, Sindangan, Zamboanga del Norte",female
1029666,Cameroon,Douala,female
1002954,Philippines,"Caluya, Sapangdalaga Misamis Occidental",female
991558,Philippines,"Sibulan, Negros Oriental",female
1111349,Ecuador,Portoviejo,female
709042,Philippines,"Bogo, Cebu",female
1187592,Cambodia,Oddar Meanchey,"male, female, female, female, female"
759962,Cambodia,"Pursat province, Bakan district","female, female, female, male, female, female, female"
846158,Philippines,"Compostela, Cebu",female
1319801,Zimbabwe,Gweru,male
1045575,Mozambique,"Moamba, Maputo",female
892081,Philippines,"Intramuros, Manila City",female
946724,Philippines,"Malay, Aklan",female
792462,Nigeria,Kaduna,male
1332470,Tajikistan,Kanibadam,female
1082318,Kenya,,female
733124,Pakistan,Faisalabad,female
1102736,Philippines,"Gango, Ozamis City, Misamis Occidental",female
1168726,Cambodia,Oddar Meanchey,"female, male, male, male, male"
1310693,Ukraine,Melitopol,female
731609,Philippines,"Liloy- Baybay Liloy, Zamboanga del Norte",female
703859,El Salvador,Osicala,male
1311881,Philippines,Molave Zamboanga del Sur,female
1298968,Philippines,"Calbayog City, Samar",female
1158739,Philippines,"Ilog, Negros Occidental",female
1172041,Philippines,"Talibon, Bohol",female
844006,Philippines,"Maguilling, Piat, Cagayan",female
1024049,Kenya,Samburu,female
1200271,Peru,CUSCO,female
1142911,Samoa,Lotopa,female
936982,Philippines,"Minglanilla, Cebu",female
1322116,Uganda,Kamwenge,female
756055,El Salvador,,female
1130410,Samoa,Puipaa,female
1290602,Kenya,Kitale,male
1049128,Kenya,Voi,female
1197752,Kenya,Mombasa,female
1286645,Cambodia,Kompong Cham,"female, male, male, female"
800951,Philippines,Dapitan City,female
894399,El Salvador,,male
1290577,Philippines,"Poblacion 2, Piat, Cagayan",female
1117034,Armenia,"Balaq village, Syunik region",female
1324678,Liberia,Congo Town,female
1320930,Philippines,"Punta Sulong, Baliangao, Mis. Occ",female
715352,Honduras,Trojes,male
884172,Philippines,"Baybay City, Leyte",female
1228027,Uganda,Kamwenge,male
663887,Jordan,Southern Ghour,male
1071753,Nigeria,Kaduna,male
1034424,Palestine,Jenin City-West Bank,male
1188383,India,Safanagar,female
1319405,Tajikistan,Khuroson,female
955159,El Salvador,La Unión,female
895296,Philippines,"Palo, Leyte",female
1064982,Kenya,Machakos,female
1043858,Kenya,Chwele,"female, female, male, male, female, male, male, female, male, female"
1201119,Mexico,"Buenos Aires, Ciudad Valles, San Luis Potosi",female
798917,Sierra Leone,Bo,male
980080,Kenya,Machakos,"male, male, female"
1275523,Zimbabwe,Shurugwi,female
935787,India,Falakata,female
689050,El Salvador,,female
897156,El Salvador,,male
1275151,Philippines,"Taytay, Palawan",female
1170552,Albania,Lac,female
859381,Nicaragua,Boaco,male
994131,Indonesia,,"female, male, female, female, male"
689868,Cambodia,Kampong Cham,female
855218,Colombia,Norcasia,female
739267,Zimbabwe,Nyaminyami,female
1264264,Nicaragua,Managua,"female, female, female"
1054401,Kenya,Bamba Kilifi,female
1272917,Philippines,Parañaque City,female
830768,Kenya,Kakamega North,"female, male, female, female, male, male, female, female, female, male"
767000,Kenya,Tiribe,female
783085,Colombia,Medellín,female
1210691,El Salvador,,female
832873,Kenya,Litein,female
1170947,Costa Rica,Roble de Gutierrez Brawn,female
1299559,Guatemala,"Aldea Buena Vista,San Pedro Sacatepequez","female, female"
1157820,Cambodia,Battambang,"female, male, male"
1135764,Israel,Nazereth,female
1119199,El Salvador,San Vicente,male
1125749,Philippines,"Bindoy, Negros Oriental",female
773749,El Salvador,,female
917100,Uganda,Lyantonde,male
886347,Mali,Demeni,"female, female, male, female, female, female, male"
1245851,Sierra Leone,Waterloo,female
660795,Kenya,Voi,female
1240642,Philippines,"Himamaylan, Negros Occidental",female
1287159,Philippines,"Narra, Palawan",female
946496,Colombia,Sampues,female
977535,Philippines,"Talibon,Bohol",female
1057434,Philippines,"Bais, Negros Oriental",female
949723,Haiti,Fontamara(Centre-Ville),female
1318127,Peru,Lima,male
849793,The Democratic Republic of the Congo,Bukavu,"female, female, female, female, female"
1039386,Lebanon,Qana,male
670634,Philippines,"Clarin, Misamis Occidental",male
907380,Uganda,Kasangati,male
738443,India,"Tanjore, Tamil Nadu","female, female, female, female, female, female, female, female"
1004792,Bolivia,El Alto,female
1098136,Honduras,El Progreso.,female
1008920,Peru,Cusco,female
992175,Pakistan,Multan,female
1279073,Ecuador,San Javier,female
1213723,Nicaragua,Granada,male
1310999,Philippines,"Plaridel - Plaridel, Misamis Occidental",female
940584,Samoa,Matautu Lefaga,female
1175351,Peru,Oropesa - Quispicanchi - Cusco,female
1295775,Liberia,Paynesville South,female
1059962,Philippines,"Tacloban City, Leyte",female
1167610,United States,,male
1020260,Turkey,,female
842556,Tajikistan,Panjakent,female
1186430,Kenya,Mombasa,female
1031340,Philippines,"Quezon, Palawan",female
717549,El Salvador,San Miguel,male
759354,Pakistan,Rawalpindi,female
944387,Peru,Huaycan,male
892758,Philippines,Ozamiz - Ozamis City Misamis Occidental,female
661290,Philippines,"Sibulan, Negros Oriental",female
846458,Vietnam,Thanh Hoá,"female, female, female, female, female, female"
812667,Tajikistan,Tursun-zoda,female
1193679,Philippines,"Kabankalan, Negros Occidental",female
1221793,United States,,female
1267510,Tajikistan,Bobojon Gafurov,male
950618,India,Kandi,female
1098345,Tajikistan,Sino,female
1027404,Cameroon,Edéa,female
1268006,Samoa,"Salelologa P, Savaii",female
1093788,Indonesia,Tangerang,female
683113,Tajikistan,Istaravshan,male
805885,Jordan,Madaba,female
1319411,Indonesia,Tangerang,female
1047423,Kenya,Eldoret,female
675264,Philippines,"Jimenez-Baga, Panaon, Misamis Occidental",female
1005977,Philippines,"Sindangan - Disud, Sindangan, Zamboanga del Norte",female
1006879,Pakistan,Rawalpindi,female
705718,Vietnam,Thanh Hoá,"female, female, female"
749089,Kyrgyzstan,"Pristan-Przhevalsk village, Issyk-Kul region",female
776831,Philippines,Molave - Mahayag Zamboanga del Sur,female
707235,Pakistan,Lahore,female
775172,Philippines,"Roxas City, Capiz",female
1138525,Palestine,Nablus,female
1120804,Kenya,Nakuru,female
1239842,Philippines,"Talibon, Bohol",female
1142040,Guatemala,Escuintla,"female, female, female"
1293966,Philippines,"Talisay City, Negros Occidental",female
1086872,Kenya,,female
1126951,Armenia,Ijevan,male
